Code|Name|Unnamed: 2|Latin Name|From|Group|Type|Description
AP001|Nasi||||Sereal|Olahan/Produk|
AP002|Nasi kukus||||Sereal|Olahan/Produk|
AP003|Tapai beras||||Sereal|Olahan/Produk|
AP004|Tepung beras mentah||||Sereal|Olahan/Produk|
AP005|Beras merah||||Sereal|Olahan/Produk|
AP006|Bihun mentah||||Sereal|Olahan/Produk|
AP007|Bihun goreng instan||||Sereal|Olahan/Produk|
AP008|Bihun jagung mentah||||Sereal|Olahan/Produk|
AP009|Nasi jagung||||Sereal|Olahan/Produk|
AP010|Jagung muda rebus||||Sereal|Olahan/Produk|
AP011|Tepung jagung kuning||||Sereal|Olahan/Produk|
AP012|Jagung pipil kuning rebus||||Sereal|Olahan/Produk|
AP013|Tepung jagung putih||||Sereal|Olahan/Produk|
AP014|Ketupat ketan||||Sereal|Olahan/Produk|
AP015|Ketan hitam masak||||Sereal|Olahan/Produk|
AP016|Tapai ketan hitam||||Sereal|Olahan/Produk|
AP017|Ketan putih masak||||Sereal|Olahan/Produk|
AP018|Tapai ketan putih||||Sereal|Olahan/Produk|
AP019|Tepung maizena||||Sereal|Olahan/Produk|
AP020|Makaroni mentah||||Sereal|Olahan/Produk|
AP021|Mie basah||||Sereal|Olahan/Produk|
AP022|Mie kering||||Sereal|Olahan/Produk|
AP023|Misua||||Sereal|Olahan/Produk|
AP024|Roti tawar putih||||Sereal|Olahan/Produk|
AP025|Tepung terigu||||Sereal|Olahan/Produk|
AP026|Amparan tatak||||Sereal|Olahan/Produk|
AP027|Kue apang kukus||||Sereal|Olahan/Produk|
AP028|Kue apem||||Sereal|Olahan/Produk|
AP029|Biskuit||||Sereal|Olahan/Produk|
AP030|Kue bakpia||||Sereal|Olahan/Produk|
AP031|Bakwan||||Sereal|Olahan/Produk|
AP032|Bantal||||Sereal|Olahan/Produk|
AP033|Baruasa||||Sereal|Olahan/Produk|
AP034|Batar daan||||Sereal|Olahan/Produk|
AP035|Bika ambon||||Sereal|Olahan/Produk|
AP036|Bingka||||Sereal|Olahan/Produk|
AP037|Bobengka||||Sereal|Olahan/Produk|
AP038|Bolu peca||||Sereal|Olahan/Produk|
AP039|Brem||||Sereal|Olahan/Produk|
AP040|Bubur tinotuan (Manado)||||Sereal|Olahan/Produk|
AP041|Bolu tapai||||Sereal|Olahan/Produk|
AP042|Cangkuning||||Sereal|Olahan/Produk|
AP043|Dodol bali||||Sereal|Olahan/Produk|
AP044|Dodol galamai||||Sereal|Olahan/Produk|
AP045|Dodol kedondong||||Sereal|Olahan/Produk|
AP046|Dodol manado||||Sereal|Olahan/Produk|
AP047|Emping beras||||Sereal|Olahan/Produk|
AP048|Gemblong||||Sereal|Olahan/Produk|
AP049|Gendar goreng||||Sereal|Olahan/Produk|
AP050|Kerak nasi goreng||||Sereal|Olahan/Produk|
AP051|Gerontol jagung||||Sereal|Olahan/Produk|
AP052|Jagung titi||||Sereal|Olahan/Produk|
AP053|Japilus||||Sereal|Olahan/Produk|
AP054|Kakicak||||Sereal|Olahan/Produk|
AP055|Kambose||||Sereal|Olahan/Produk|
AP056|Kapusa||||Sereal|Olahan/Produk|
AP057|Keddo bodong||||Sereal|Olahan/Produk|
AP058|Kue kelepon||||Sereal|Olahan/Produk|
AP059|Kereput||||Sereal|Olahan/Produk|
AP060|Ketoprak||||Sereal|Olahan/Produk|
AP061|Ketupat kandangan||||Sereal|Olahan/Produk|
