Code|Nutrient/Ingridient|Value (per 100gr)
AP001|Air (Water)|56.7 g
AP001|Energi (Energy)|180 Kal
AP001|Protein (Protein)|3.0 g
AP001|Lemak (Fat)|0.3 g
AP001|Karbohidrat (CHO)|39.8 g
AP001|Serat (Fibre)|0.2 g
AP001|Abu (ASH)|0.2 g
AP001|Kalsium (Ca)|25 mg
AP001|Fosfor (P)|27 mg
AP001|Besi (Fe)|0.4 mg
AP001|Natrium (Na)|1 mg
AP001|Kalium (K)|38.0 mg
AP001|Tembaga (Cu)|0.10 mg
AP001|Seng (Zn)|0.6 mg
AP001|Retinol (Vit. A)|0 mcg
AP001|Beta-Karoten (Carotenes)|0 mcg
AP001|Thiamin (Vit. B1)|0.05 mg
AP001|Riboflavin (Vit. B2)|0.10 mg
AP001|Niasin (Niacin)|2.6 mg
AP001|Vitamin C (Vit. C)|0 mg
AP002|Air (Water)|71.0 g
AP002|Energi (Energy)|120 Kal
AP002|Protein (Protein)|2.4 g
AP002|Lemak (Fat)|0.4 g
AP002|Karbohidrat (CHO)|26.0 g
AP002|Serat (Fibre)|0.5 g
AP002|Abu (ASH)|0.2 g
AP002|Kalsium (Ca)|3 mg
AP002|Fosfor (P)|7 mg
AP002|Besi (Fe)|0.4 mg
AP002|Natrium (Na)|0 mg
AP002|Kalium (K)|23.9 mg
AP002|Tembaga (Cu)|0.10 mg
AP002|Seng (Zn)|0.4 mg
AP002|Beta-Karoten (Carotenes)|0 mcg
AP002|Thiamin (Vit. B1)|0.10 mg
AP002|Riboflavin (Vit. B2)|0.00 mg
AP002|Niasin (Niacin)|1.4 mg
AP002|Vitamin C (Vit. C)|0 mg
AP003|Air (Water)|75.5 g
AP003|Energi (Energy)|99 Kal
AP003|Protein (Protein)|1.7 g
AP003|Lemak (Fat)|0.3 g
AP003|Karbohidrat (CHO)|22.4 g
AP003|Serat (Fibre)|0.0 g
AP003|Abu (ASH)|0.1 g
AP003|Kalsium (Ca)|4 mg
AP003|Fosfor (P)|19 mg
AP003|Besi (Fe)|0.0 mg
AP003|Natrium (Na)|26 mg
AP003|Kalium (K)|2.0 mg
AP003|Tembaga (Cu)|0.10 mg
AP003|Seng (Zn)|0.5 mg
AP003|Retinol (Vit. A)|0 mcg
AP003|Beta-Karoten (Carotenes)|0 mcg
AP003|Karoten Total (Re)|0 mcg
AP003|Thiamin (Vit. B1)|0.00 mg
AP003|Riboflavin (Vit. B2)|0.00 mg
AP003|Niasin (Niacin)|0.0 mg
AP003|Vitamin C (Vit. C)|0 mg
AP004|Air (Water)|12.0 g
AP004|Energi (Energy)|353 Kal
AP004|Protein (Protein)|7.0 g
AP004|Lemak (Fat)|0.5 g
AP004|Karbohidrat (CHO)|80.0 g
AP004|Serat (Fibre)|2.4 g
AP004|Abu (ASH)|0.5 g
AP004|Kalsium (Ca)|5 mg
AP004|Fosfor (P)|140 mg
AP004|Besi (Fe)|0.8 mg
AP004|Natrium (Na)|5 mg
AP004|Kalium (K)|241.0 mg
AP004|Tembaga (Cu)|0.10 mg
AP004|Seng (Zn)|0.8 mg
AP004|Retinol (Vit. A)|0 mcg
AP004|Beta-Karoten (Carotenes)|0 mcg
AP004|Karoten Total (Re)|0 mcg
AP004|Thiamin (Vit. B1)|0.12 mg
AP004|Riboflavin (Vit. B2)|0.10 mg
AP004|Niasin (Niacin)|1.2 mg
AP004|Vitamin C (Vit. C)|0 mg
AP005|Air (Water)|64.0 g
AP005|Energi (Energy)|149 Kal
AP005|Protein (Protein)|2.8 g
AP005|Lemak (Fat)|0.4 g
AP005|Karbohidrat (CHO)|32.5 g
AP005|Serat (Fibre)|0.3 g
AP005|Abu (ASH)|0.3 g
AP005|Kalsium (Ca)|6 mg
AP005|Fosfor (P)|63 mg
AP005|Besi (Fe)|0.8 mg
AP005|Natrium (Na)|5 mg
AP005|Kalium (K)|91.4 mg
AP005|Tembaga (Cu)|0.20 mg
AP005|Seng (Zn)|0.9 mg
AP005|Retinol (Vit. A)|0 mcg
AP005|Beta-Karoten (Carotenes)|0 mcg
AP005|Karoten Total (Re)|0 mcg
AP005|Thiamin (Vit. B1)|0.06 mg
AP005|Riboflavin (Vit. B2)|0.00 mg
AP005|Niasin (Niacin)|1.6 mg
AP005|Vitamin C (Vit. C)|0 mg
AP006|Air (Water)|12.9 g
AP006|Energi (Energy)|348 Kal
AP006|Protein (Protein)|4.7 g
AP006|Lemak (Fat)|0.1 g
AP006|Karbohidrat (CHO)|82.1 g
AP006|Serat (Fibre)|1.2 g
AP006|Abu (ASH)|0.2 g
AP006|Kalsium (Ca)|6 mg
AP006|Fosfor (P)|35 mg
AP006|Besi (Fe)|1.8 mg
AP006|Natrium (Na)|12 mg
AP006|Kalium (K)|5.0 mg
AP006|Tembaga (Cu)|0.08 mg
AP006|Seng (Zn)|0.7 mg
AP006|Retinol (Vit. A)|0 mcg
AP006|Beta-Karoten (Carotenes)|0 mcg
AP006|Karoten Total (Re)|0 mcg
AP006|Thiamin (Vit. B1)|0.00 mg
AP006|Riboflavin (Vit. B2)|0.00 mg
AP006|Niasin (Niacin)|0.2 mg
AP006|Vitamin C (Vit. C)|0 mg
AP007|Air (Water)|9.0 g
AP007|Energi (Energy)|381 Kal
AP007|Protein (Protein)|6.1 g
AP007|Lemak (Fat)|3.9 g
AP007|Karbohidrat (CHO)|80.3 g
AP007|Abu (ASH)|0.7 g
AP007|Kalsium (Ca)|266 mg
AP007|Fosfor (P)|151 mg
AP007|Besi (Fe)|2.9 mg
AP007|Natrium (Na)|928 mg
AP007|Retinol (Vit. A)|58 mcg
AP007|Karoten Total (Re)|400 mcg
AP007|Thiamin (Vit. B1)|0.37 mg
AP007|Vitamin C (Vit. C)|0 mg
AP008|Air (Water)|11.3 g
AP008|Energi (Energy)|354 Kal
AP008|Protein (Protein)|0.5 g
AP008|Lemak (Fat)|0.3 g
AP008|Karbohidrat (CHO)|87.4 g
AP008|Serat (Fibre)|3.0 g
AP008|Abu (ASH)|0.5 g
AP008|Kalsium (Ca)|13 mg
AP008|Fosfor (P)|111 mg
AP008|Besi (Fe)|0.6 mg
AP008|Natrium (Na)|49 mg
AP008|Kalium (K)|1.4 mg
AP008|Tembaga (Cu)|0.40 mg
AP008|Seng (Zn)|0.0 mg
AP008|Beta-Karoten (Carotenes)|0 mcg
AP008|Karoten Total (Re)|0 mcg
AP008|Thiamin (Vit. B1)|0.02 mg
AP008|Riboflavin (Vit. B2)|0.02 mg
AP008|Niasin (Niacin)|0.3 mg
AP008|Vitamin C (Vit. C)|0 mg
AP009|Air (Water)|11.0 g
AP009|Energi (Energy)|357 Kal
AP009|Protein (Protein)|8.8 g
AP009|Lemak (Fat)|0.5 g
AP009|Karbohidrat (CHO)|79.5 g
AP009|Serat (Fibre)|6.2 g
AP009|Abu (ASH)|0.3 g
AP009|Kalsium (Ca)|5 mg
AP009|Fosfor (P)|43 mg
AP009|Besi (Fe)|0.6 mg
